RUN	Servicios.ObtenerCiudades	obtenerciudades	1569514514643	1	3.0.2
USER	SmokeTest	107	END	1569514531205	1569514531981
USER	SmokeTest	113	START	1569514531982	1569514531982
REQUEST	108		SmokeTest	1569514531387	1569514532170	OK	 
USER	SmokeTest	108	END	1569514531386	1569514532177
USER	SmokeTest	114	START	1569514532177	1569514532177
REQUEST	109		SmokeTest	1569514531442	1569514532227	OK	 
USER	SmokeTest	109	END	1569514531441	1569514532231
USER	SmokeTest	115	START	1569514532231	1569514532231
REQUEST	110		SmokeTest	1569514531465	1569514532239	OK	 
USER	SmokeTest	110	END	1569514531465	1569514532243
USER	SmokeTest	116	START	1569514532243	1569514532243
REQUEST	111		SmokeTest	1569514531635	1569514532416	OK	 
USER	SmokeTest	111	END	1569514531634	1569514532423
USER	SmokeTest	117	START	1569514532423	1569514532423
REQUEST	112		SmokeTest	1569514531741	1569514532435	OK	 
USER	SmokeTest	112	END	1569514531741	1569514532440
USER	SmokeTest	118	START	1569514532440	1569514532440
REQUEST	113		SmokeTest	1569514531982	1569514532709	OK	 
USER	SmokeTest	113	END	1569514531982	1569514532714
USER	SmokeTest	119	START	1569514532715	1569514532715
REQUEST	115		SmokeTest	1569514532232	1569514532999	OK	 
USER	SmokeTest	115	END	1569514532231	1569514533005
USER	SmokeTest	120	START	1569514533005	1569514533005
REQUEST	116		SmokeTest	1569514532243	1569514533005	OK	 
USER	SmokeTest	116	END	1569514532243	1569514533011
USER	SmokeTest	121	START	1569514533011	1569514533011
REQUEST	114		SmokeTest	1569514532178	1569514533073	OK	 
USER	SmokeTest	114	END	1569514532177	1569514533078
USER	SmokeTest	122	START	1569514533078	1569514533078
REQUEST	118		SmokeTest	1569514532440	1569514533125	OK	 
USER	SmokeTest	118	END	1569514532440	1569514533130
USER	SmokeTest	123	START	1569514533130	1569514533130
REQUEST	117		SmokeTest	1569514532424	1569514533378	OK	 
USER	SmokeTest	117	END	1569514532423	1569514533384
USER	SmokeTest	124	START	1569514533384	1569514533384
USER	SmokeTest	125	START	1569514533524	1569514533524
REQUEST	119		SmokeTest	1569514532715	1569514533655	OK	 
USER	SmokeTest	119	END	1569514532715	1569514533662
USER	SmokeTest	126	START	1569514533662	1569514533662
REQUEST	121		SmokeTest	1569514533012	1569514533781	OK	 
USER	SmokeTest	121	END	1569514533011	1569514533788
USER	SmokeTest	127	START	1569514533789	1569514533789
REQUEST	122		SmokeTest	1569514533079	1569514533842	OK	 
USER	SmokeTest	122	END	1569514533078	1569514533846
USER	SmokeTest	128	START	1569514533846	1569514533846
REQUEST	123		SmokeTest	1569514533131	1569514533895	OK	 
USER	SmokeTest	123	END	1569514533130	1569514533905
USER	SmokeTest	129	START	1569514533905	1569514533905
REQUEST	120		SmokeTest	1569514533006	1569514534063	OK	 
USER	SmokeTest	120	END	1569514533005	1569514534067
USER	SmokeTest	130	START	1569514534067	1569514534067
REQUEST	124		SmokeTest	1569514533385	1569514534166	OK	 
USER	SmokeTest	124	END	1569514533384	1569514534169
USER	SmokeTest	131	START	1569514534170	1569514534170
REQUEST	125		SmokeTest	1569514533524	1569514534212	OK	 
USER	SmokeTest	125	END	1569514533524	1569514534218
USER	SmokeTest	132	START	1569514534219	1569514534219
REQUEST	127		SmokeTest	1569514533790	1569514534475	OK	 
USER	SmokeTest	127	END	1569514533789	1569514534481
USER	SmokeTest	133	START	1569514534481	1569514534481
REQUEST	126		SmokeTest	1569514533721	1569514534492	OK	 
USER	SmokeTest	126	END	1569514533662	1569514534497
USER	SmokeTest	134	START	1569514534497	1569514534497
REQUEST	128		SmokeTest	1569514533847	1569514534530	OK	 
USER	SmokeTest	128	END	1569514533846	1569514534537
USER	SmokeTest	135	START	1569514534537	1569514534537
REQUEST	129		SmokeTest	1569514533905	1569514534661	OK	 
USER	SmokeTest	129	END	1569514533905	1569514534667
USER	SmokeTest	136	START	1569514534667	1569514534667
REQUEST	130		SmokeTest	1569514534068	1569514534832	OK	 
USER	SmokeTest	130	END	1569514534067	1569514534839
USER	SmokeTest	137	START	1569514534840	1569514534840
REQUEST	131		SmokeTest	1569514534170	1569514534953	OK	 
USER	SmokeTest	131	END	1569514534170	1569514534958
USER	SmokeTest	138	START	1569514534959	1569514534959
REQUEST	132		SmokeTest	1569514534219	1569514534981	OK	 
USER	SmokeTest	132	END	1569514534219	1569514534987
USER	SmokeTest	139	START	1569514534987	1569514534987
REQUEST	135		SmokeTest	1569514534537	1569514535223	OK	 
USER	SmokeTest	135	END	1569514534537	1569514535231
USER	SmokeTest	140	START	1569514535231	1569514535231
REQUEST	133		SmokeTest	1569514534482	1569514535261	OK	 
