RUN	Servicios.ObtenerCiudades	obtenerciudades	1569618175525	 	3.0.2
REQUEST	83		SmokeTest	1569618193153	1569618194070	OK	 
USER	SmokeTest	83	END	1569618193153	1569618194078
USER	SmokeTest	88	START	1569618194079	1569618194079
REQUEST	84		SmokeTest	1569618193214	1569618194208	OK	 
USER	SmokeTest	84	END	1569618193213	1569618194218
USER	SmokeTest	89	START	1569618194220	1569618194220
REQUEST	85		SmokeTest	1569618193403	1569618194236	OK	 
USER	SmokeTest	85	END	1569618193402	1569618194241
USER	SmokeTest	90	START	1569618194241	1569618194241
REQUEST	86		SmokeTest	1569618193849	1569618194777	OK	 
USER	SmokeTest	86	END	1569618193848	1569618194808
USER	SmokeTest	91	START	1569618194808	1569618194808
USER	SmokeTest	92	START	1569618194845	1569618194845
REQUEST	87		SmokeTest	1569618194022	1569618194986	OK	 
REQUEST	89		SmokeTest	1569618194221	1569618194991	OK	 
USER	SmokeTest	87	END	1569618194022	1569618194998
USER	SmokeTest	93	START	1569618195010	1569618195010
USER	SmokeTest	89	END	1569618194220	1569618195007
USER	SmokeTest	94	START	1569618195012	1569618195012
REQUEST	80		SmokeTest	1569618192496	1569618195094	OK	 
USER	SmokeTest	80	END	1569618192496	1569618195112
USER	SmokeTest	95	START	1569618195112	1569618195112
REQUEST	88		SmokeTest	1569618194079	1569618195192	OK	 
REQUEST	90		SmokeTest	1569618194242	1569618195192	OK	 
USER	SmokeTest	88	END	1569618194079	1569618195224
USER	SmokeTest	96	START	1569618195238	1569618195238
USER	SmokeTest	90	END	1569618194241	1569618195237
USER	SmokeTest	97	START	1569618195239	1569618195239
REQUEST	91		SmokeTest	1569618194809	1569618195709	OK	 
USER	SmokeTest	91	END	1569618194808	1569618195713
USER	SmokeTest	98	START	1569618195713	1569618195713
REQUEST	94		SmokeTest	1569618195013	1569618195857	OK	 
USER	SmokeTest	94	END	1569618195012	1569618195867
USER	SmokeTest	99	START	1569618195868	1569618195868
REQUEST	93		SmokeTest	1569618195011	1569618196088	OK	 
USER	SmokeTest	93	END	1569618195010	1569618196094
USER	SmokeTest	100	START	1569618196095	1569618196095
REQUEST	95		SmokeTest	1569618195113	1569618196178	OK	 
USER	SmokeTest	95	END	1569618195112	1569618196183
USER	SmokeTest	101	START	1569618196183	1569618196183
REQUEST	96		SmokeTest	1569618195239	1569618196191	OK	 
USER	SmokeTest	96	END	1569618195238	1569618196198
USER	SmokeTest	102	START	1569618196198	1569618196198
REQUEST	98		SmokeTest	1569618195714	1569618196805	OK	 
USER	SmokeTest	98	END	1569618195713	1569618196817
USER	SmokeTest	103	START	1569618196817	1569618196817
REQUEST	100		SmokeTest	1569618196096	1569618197008	OK	 
USER	SmokeTest	100	END	1569618196095	1569618197013
USER	SmokeTest	104	START	1569618197013	1569618197013
REQUEST	99		SmokeTest	1569618195869	1569618197016	OK	 
USER	SmokeTest	99	END	1569618195868	1569618197021
USER	SmokeTest	105	START	1569618197021	1569618197021
REQUEST	102		SmokeTest	1569618196198	1569618197134	OK	 
USER	SmokeTest	102	END	1569618196198	1569618197142
USER	SmokeTest	106	START	1569618197143	1569618197143
REQUEST	101		SmokeTest	1569618196184	1569618197228	OK	 
USER	SmokeTest	101	END	1569618196183	1569618197232
USER	SmokeTest	107	START	1569618197232	1569618197232
REQUEST	92		SmokeTest	1569618194846	1569618197543	OK	 
USER	SmokeTest	92	END	1569618194845	1569618197550
USER	SmokeTest	108	START	1569618197550	1569618197550
REQUEST	103		SmokeTest	1569618196819	1569618197737	OK	 
USER	SmokeTest	103	END	1569618196817	1569618197743
USER	SmokeTest	109	START	1569618197743	1569618197743
REQUEST	105		SmokeTest	1569618197022	1569618197746	OK	 
USER	SmokeTest	105	END	1569618197021	1569618197751
USER	SmokeTest	110	START	1569618197753	1569618197753
REQUEST	106		SmokeTest	1569618197144	1569618197855	OK	 
USER	SmokeTest	106	END	1569618197143	1569618197862
USER	SmokeTest	111	START	1569618197864	1569618197864
REQUEST	97		SmokeTest	1569618195247	1569618197951	OK	 
USER	SmokeTest	97	END	1569618195239	1569618197961
REQUEST	107		SmokeTest	1569618197233	1569618197972	OK	 
USER	SmokeTest	112	START	1569618197972	1569618197972
USER	SmokeTest	107	END	1569618197232	1569618197978
USER	SmokeTest	113	START	1569618197979	1569618197979
REQUEST	108		SmokeTest	1569618197551	1569618198293	OK	 
USER	SmokeTest	108	END	1569618197550	1569618198307
USER	SmokeTest	114	START	1569618198307	1569618198307
REQUEST	104		SmokeTest	1569618197014	1569618198372	OK	 
USER	SmokeTest	104	END	1569618197013	1569618198377
USER	SmokeTest	115	START	1569618198377	1569618198377
REQUEST	109		SmokeTest	1569618197744	1569618198470	OK	 
USER	SmokeTest	109	END	1569618197743	1569618198476
USER	SmokeTest	116	START	1569618198477	1569618198477
