RUN	Servicios.ObtenerCiudades	obtenerciudades	1569512381723	NA	3.0.2
USER	SmokeTest	114	END	1569512398965	1569512399732
USER	SmokeTest	119	START	1569512399732	1569512399732
REQUEST	116		SmokeTest	1569512399100	1569512399866	OK	 
USER	SmokeTest	116	END	1569512399100	1569512399867
USER	SmokeTest	120	START	1569512399867	1569512399867
REQUEST	113		SmokeTest	1569512398953	1569512399897	OK	 
USER	SmokeTest	113	END	1569512398953	1569512399898
USER	SmokeTest	121	START	1569512399898	1569512399898
REQUEST	117		SmokeTest	1569512399221	1569512399985	OK	 
USER	SmokeTest	117	END	1569512399221	1569512399986
USER	SmokeTest	122	START	1569512399986	1569512399986
REQUEST	115		SmokeTest	1569512399044	1569512400106	OK	 
USER	SmokeTest	115	END	1569512399043	1569512400107
USER	SmokeTest	123	START	1569512400107	1569512400107
REQUEST	118		SmokeTest	1569512399592	1569512400352	OK	 
USER	SmokeTest	118	END	1569512399591	1569512400354
USER	SmokeTest	124	START	1569512400354	1569512400354
REQUEST	119		SmokeTest	1569512399733	1569512400413	OK	 
USER	SmokeTest	119	END	1569512399732	1569512400414
USER	SmokeTest	125	START	1569512400414	1569512400414
USER	SmokeTest	126	START	1569512400487	1569512400487
REQUEST	120		SmokeTest	1569512399868	1569512400547	OK	 
USER	SmokeTest	120	END	1569512399867	1569512400548
USER	SmokeTest	127	START	1569512400548	1569512400548
REQUEST	121		SmokeTest	1569512399899	1569512400665	OK	 
USER	SmokeTest	121	END	1569512399898	1569512400666
USER	SmokeTest	128	START	1569512400666	1569512400666
REQUEST	122		SmokeTest	1569512399987	1569512400772	OK	 
USER	SmokeTest	122	END	1569512399986	1569512400773
USER	SmokeTest	129	START	1569512400773	1569512400773
REQUEST	123		SmokeTest	1569512400107	1569512400874	OK	 
USER	SmokeTest	123	END	1569512400107	1569512400875
USER	SmokeTest	130	START	1569512400875	1569512400875
REQUEST	124		SmokeTest	1569512400354	1569512401118	OK	 
USER	SmokeTest	124	END	1569512400354	1569512401119
USER	SmokeTest	131	START	1569512401120	1569512401120
REQUEST	127		SmokeTest	1569512400549	1569512401231	OK	 
USER	SmokeTest	127	END	1569512400548	1569512401232
USER	SmokeTest	132	START	1569512401233	1569512401233
REQUEST	126		SmokeTest	1569512400527	1569512401234	OK	 
USER	SmokeTest	126	END	1569512400487	1569512401235
USER	SmokeTest	133	START	1569512401235	1569512401235
REQUEST	129		SmokeTest	1569512400774	1569512401555	OK	 
USER	SmokeTest	129	END	1569512400773	1569512401555
USER	SmokeTest	134	START	1569512401556	1569512401556
REQUEST	128		SmokeTest	1569512400666	1569512401614	OK	 
USER	SmokeTest	128	END	1569512400666	1569512401615
USER	SmokeTest	135	START	1569512401616	1569512401616
REQUEST	130		SmokeTest	1569512400876	1569512401640	OK	 
USER	SmokeTest	130	END	1569512400875	1569512401659
USER	SmokeTest	136	START	1569512401660	1569512401660
REQUEST	125		SmokeTest	1569512400415	1569512401726	OK	 
USER	SmokeTest	125	END	1569512400414	1569512401727
USER	SmokeTest	137	START	1569512401727	1569512401727
REQUEST	131		SmokeTest	1569512401120	1569512401803	OK	 
USER	SmokeTest	131	END	1569512401120	1569512401804
USER	SmokeTest	138	START	1569512401805	1569512401805
REQUEST	133		SmokeTest	1569512401235	1569512401908	OK	 
USER	SmokeTest	133	END	1569512401235	1569512401909
USER	SmokeTest	139	START	1569512401909	1569512401909
REQUEST	132		SmokeTest	1569512401233	1569512402111	OK	 
USER	SmokeTest	132	END	1569512401233	1569512402112
USER	SmokeTest	140	START	1569512402113	1569512402113
REQUEST	134		SmokeTest	1569512401556	1569512402341	OK	 
USER	SmokeTest	134	END	1569512401556	1569512402342
USER	SmokeTest	141	START	1569512402343	1569512402343
REQUEST	136		SmokeTest	1569512401660	1569512402349	OK	 
USER	SmokeTest	136	END	1569512401660	1569512402350
USER	SmokeTest	142	START	1569512402351	1569512402351
REQUEST	135		SmokeTest	1569512401616	1569512402425	OK	 
USER	SmokeTest	135	END	1569512401616	1569512402426
USER	SmokeTest	143	START	1569512402426	1569512402426
REQUEST	137		SmokeTest	1569512401728	1569512402502	OK	 
USER	SmokeTest	137	END	1569512401727	1569512402503
USER	SmokeTest	144	START	1569512402504	1569512402504
REQUEST	138		SmokeTest	1569512401805	1569512402574	OK	 
USER	SmokeTest	138	END	1569512401805	1569512402575
USER	SmokeTest	145	START	1569512402575	1569512402575
REQUEST	139		SmokeTest	1569512401910	1569512402676	OK	 
USER	SmokeTest	139	END	1569512401909	1569512402677
USER	SmokeTest	146	START	1569512402677	1569512402677
REQUEST	140		SmokeTest	1569512402113	1569512402891	OK	 
USER	SmokeTest	140	END	1569512402113	1569512402892
USER	SmokeTest	147	START	1569512402892	1569512402892
REQUEST	141		SmokeTest	1569512402343	1569512403038	OK	 
USER	SmokeTest	141	END	1569512402343	1569512403039
USER	SmokeTest	148	START	1569512403039	1569512403039
REQUEST	142		SmokeTest	1569512402351	1569512403136	OK	 
USER	SmokeTest	142	END	1569512402351	1569512403137
USER	SmokeTest	149	START	1569512403137	1569512403137
REQUEST	143		SmokeTest	1569512402427	1569512403205	OK	 
USER	SmokeTest	143	END	1569512402426	1569512403206
USER	SmokeTest	150	START	1569512403206	1569512403206
REQUEST	144		SmokeTest	1569512402504	1569512403212	OK	 
USER	SmokeTest	144	END	1569512402504	1569512403213
USER	SmokeTest	151	START	1569512403213	1569512403213
REQUEST	146		SmokeTest	1569512402677	1569512403362	OK	 
USER	SmokeTest	146	END	1569512402677	1569512403363
USER	SmokeTest	152	START	1569512403364	1569512403364
REQUEST	145		SmokeTest	1569512402576	1569512403537	OK	 
USER	SmokeTest	145	END	1569512402575	1569512403538
USER	SmokeTest	153	START	1569512403538	1569512403538
REQUEST	147		SmokeTest	1569512402893	1569512403659	OK	 
USER	SmokeTest	147	END	1569512402892	1569512403661
USER	SmokeTest	154	START	1569512403661	1569512403661
REQUEST	148		SmokeTest	1569512403040	1569512403724	OK	 
USER	SmokeTest	148	END	1569512403039	1569512403726
USER	SmokeTest	155	START	1569512403727	1569512403727
REQUEST	149		SmokeTest	1569512403137	1569512403913	OK	 
USER	SmokeTest	149	END	1569512403137	1569512403914
USER	SmokeTest	156	START	1569512403914	1569512403914
REQUEST	150		SmokeTest	1569512403207	1569512403919	OK	 
REQUEST	151		SmokeTest	1569512403213	1569512403919	OK	 
USER	SmokeTest	150	END	1569512403206	1569512403920
USER	SmokeTest	157	START	1569512403920	1569512403920
USER	SmokeTest	151	END	1569512403213	1569512403921
USER	SmokeTest	158	START	1569512403922	1569512403922
REQUEST	152		SmokeTest	1569512403364	1569512404141	OK	 
USER	SmokeTest	152	END	1569512403364	1569512404142
USER	SmokeTest	159	START	1569512404142	1569512404142
REQUEST	153		SmokeTest	1569512403539	1569512404238	OK	 
USER	SmokeTest	153	END	1569512403538	1569512404239
USER	SmokeTest	160	START	1569512404239	1569512404239
REQUEST	154		SmokeTest	1569512403662	1569512404424	OK	 
USER	SmokeTest	154	END	1569512403661	1569512404426
USER	SmokeTest	161	START	1569512404426	1569512404426
REQUEST	155		SmokeTest	1569512403729	1569512404428	OK	 
USER	SmokeTest	155	END	1569512403727	1569512404429
USER	SmokeTest	162	START	1569512404429	1569512404429
REQUEST	156		SmokeTest	1569512403914	1569512404595	OK	 
USER	SmokeTest	156	END	1569512403914	1569512404595
USER	SmokeTest	163	START	1569512404596	1569512404596
REQUEST	157		SmokeTest	1569512403921	1569512404641	OK	 
USER	SmokeTest	157	END	1569512403920	1569512404642
USER	SmokeTest	164	START	1569512404643	1569512404643
REQUEST	158		SmokeTest	1569512403922	1569512404708	OK	 
USER	SmokeTest	158	END	1569512403922	1569512404709
USER	SmokeTest	165	START	1569512404710	1569512404710
REQUEST	159		SmokeTest	1569512404142	1569512404921	OK	 
USER	SmokeTest	159	END	1569512404142	1569512404923
USER	SmokeTest	166	START	1569512404923	1569512404923
REQUEST	160		SmokeTest	1569512404240	1569512405035	OK	 
USER	SmokeTest	160	END	1569512404239	1569512405036
USER	SmokeTest	167	START	1569512405036	1569512405036
REQUEST	162		SmokeTest	1569512404430	1569512405163	OK	 
USER	SmokeTest	162	END	1569512404429	1569512405164
USER	SmokeTest	168	START	1569512405164	1569512405164
REQUEST	161		SmokeTest	1569512404427	1569512405173	OK	 
USER	SmokeTest	161	END	1569512404426	1569512405174
USER	SmokeTest	169	START	1569512405174	1569512405174
REQUEST	163		SmokeTest	1569512404596	1569512405269	OK	 
